Date,Brand,Collaboration,Style,Colorway,B Absent,Weekend,Holiday
2017-09-05,Jordan,,11,Legend Blue,,,
2017-09-06,Nike,,Sb Blazer low xt,,,,
2017-09-07,Converse , Comme de Garcon Play ,Chuck Taylor,,,,
2017-09-08,Nike,,Flyknit Trainer,White Black,,,
2017-09-09,,,,,,x,
2017-09-10,,,,,,x,
2017-09-11,Adidas,,Giselle,,,,
2017-09-12,Nike,,Air Max 97,,,,
2017-09-13,Nike,,VaporMax,Pure  Platinum,,,
2017-09-14,Vans,,Authentic,,,,
2017-09-15,Adidas,,Stan Smith,,,,
2017-09-16,,,,,,x,
2017-09-17,,,,,,x,
2017-09-18,Nike ,,KD 10,,,,
2017-09-19,Nike,,Kobe 9 elite low,Hypergrape ,,,
2017-09-20,Nike,,Air Max 97,,,,
2017-09-21,,,,,,,x
2017-09-22,Nike ,,LunarEpic Flyknit,,,,
2017-09-23,,,,,,x,
2017-09-24,,,,,,x,
2017-09-25,Vans,Supreme,Sk8 hi,Checkered Blue,,,
2017-09-26,Nike,,Cortez,,,,
2017-09-27,Nike,,Air Max 1 Anniversary,Anniversary Red,,,
2017-09-28,Nike,,LunarEpic Flyknit,,,,
2017-09-29,Jordan,,12,French Blue,,,
2017-09-30,,,,,,x,
2017-10-01,,,,,,x,
2017-10-02,Cole Haan,Nike,Leather Lunargrand,,,,
2017-10-03,Nike,NikeLab,Air Max Woven,,,,
2017-10-04,Jordan,,7,Hare,,,
2017-10-05,Nike,,Kyrie 3,Samurai,,,
2017-10-06,Nike,,LeBron 8 low,Sprite,,,
2017-10-07,,,,,,x,
2017-10-08,,,,,,x,
2017-10-09,,,,,,,x
2017-10-10,Nike,,LunarEpic Low Flyknit 2 ,,,,
2017-10-10,Nike,,VaporMax,Blue Navy,,,
2017-10-11,Jordan,,11,Cool Gray,,,
2017-10-12,Nike,,Air Max 95,Neon,,,
2017-10-13,Nike,,Air Force 1 Mid 07,,,,
2017-10-14,,,,,,x,
2017-10-15,,,,,,x,
2017-10-16,Nike ,,Air Max Zero,,,,
2017-10-17,Jordan,,11,Space Jam,,,
2017-10-18,Nike,,Air Max LD-Zero,,,,
2017-10-19,Nike,,Air Foamposite one,Royal,,,
2017-10-20,Nike,,LeBron 14,Out of Nowhere,,,
2017-10-21,,,,,,x,
2017-10-22,,,,,,x,
2017-10-23,Adidas,,Ultra Boost 3.0,Bronze,,,
2017-10-24,Jordan,,11,Concord,,,
2017-10-25,Jordan,,5,Wolf Grey,,,
2017-10-26,Nike,Kanye West,Air Max 1,Master Master,,,
2017-10-27,,,,,x,,
2017-10-28,,,,,,x,
2017-10-29,,,,,,x,
2017-10-30,,,,,x,,
2017-10-31,,,,,x,,
2017-11-01,,,,,x,,
2017-11-02,,,,,x,,
2017-11-03,,,,,x,,
2017-11-04,,,,,,x,
2017-11-05,,,,,,x,
2017-11-06,Nike,,Air Max 95,Neon,,,
2017-11-07,Nike,,Air Max 1 Anniversary,Anniversary Blue,,,
2017-11-08,Jordan,,12,Playoff,,,
2017-11-09,Nike,,Kyrie 2,Xmas,,,
2017-11-10,,,,,,,
2017-11-11,,,,,,,
2017-11-12,,,,,,,
2017-11-13,Jordan,, 11 Low,Gum Bottom,,,
2017-11-14,Nike ,,Kobe 9 elite low,Beethoven,,,
2017-11-15,,,,,x,,
2017-11-16,,,,,x,,
2017-11-17,,,,,x,,
2017-11-18,,,,,,x,
2017-11-19,,,,,,x,
2017-11-20,Jordan,,12,Playoff,,,
